================================================================================
SPEAKER DIARIZATION REPORT (WHO TALKED WHEN)
Source File   : Session_Full_۲۰۲۶۰۸۲۳_۱۸۰۰۳۴.wav
Total Speakers: 5 (doctor, patient_1, patient_2, patient_3, patient_4)
Total Turns   : 5687
================================================================================

[00:20:28.955 --> 00:20:32.363] patient_1
[00:20:34.237 --> 00:20:34.810] doctor
[00:20:35.654 --> 00:20:36.751] doctor
[00:20:37.358 --> 00:20:39.282] doctor
[00:20:40.868 --> 00:20:53.508] doctor
[00:21:04.713 --> 00:21:09.387] patient_1
[00:21:10.501 --> 00:21:13.015] doctor
[00:21:13.572 --> 00:21:25.047] doctor
[00:21:25.064 --> 00:21:26.347] doctor
[00:21:33.417 --> 00:21:38.193] doctor
[00:21:38.463 --> 00:21:40.842] patient_1
[00:21:45.922 --> 00:21:49.870] doctor
[00:21:50.107 --> 00:21:51.220] doctor
[00:21:52.503 --> 00:21:56.637] doctor
[00:21:58.443 --> 00:22:08.568] doctor
[00:22:11.386 --> 00:22:13.023] doctor
[00:22:23.840 --> 00:22:24.700] patient_1
[00:22:27.822 --> 00:22:29.915] patient_1
[00:22:27.974 --> 00:22:29.206] doctor
[00:22:33.408 --> 00:22:35.517] patient_1
[00:22:39.567 --> 00:22:43.853] patient_1
[00:22:44.461 --> 00:22:49.878] patient_1
[00:22:50.924 --> 00:22:53.033] patient_1
[00:23:12.592 --> 00:23:36.014] patient_1
[00:23:26.075 --> 00:23:26.682] doctor
[00:23:38.073 --> 00:23:39.035] patient_1
[00:23:39.473 --> 00:23:42.258] patient_1
[00:23:43.675 --> 00:23:47.843] patient_1
[00:23:46.342 --> 00:23:46.780] doctor
[00:23:52.940 --> 00:23:54.543] patient_1
[00:23:55.505 --> 00:23:58.289] patient_1
[00:23:58.154 --> 00:23:59.032] doctor
[00:23:59.234 --> 00:23:59.791] patient_1
[00:24:01.107 --> 00:24:02.474] doctor
[00:24:02.474 --> 00:24:04.246] patient_1
[00:24:20.682 --> 00:24:23.483] doctor
[00:24:23.855 --> 00:24:24.952] patient_1
[00:24:27.297 --> 00:24:30.250] patient_1
[00:24:29.491 --> 00:24:30.149] doctor
[00:24:30.605 --> 00:24:31.988] patient_1
[00:24:32.410 --> 00:24:32.832] patient_1
[00:24:33.524 --> 00:24:33.980] doctor
[00:24:34.486 --> 00:24:35.330] doctor
[00:24:37.405 --> 00:24:39.295] doctor
[00:24:39.380 --> 00:24:40.122] doctor
[00:24:41.557 --> 00:24:44.408] patient_1
[00:24:51.395 --> 00:24:51.968] patient_1
[00:25:09.295 --> 00:25:10.426] doctor
[00:25:16.585 --> 00:25:17.682] patient_1
[00:25:55.010 --> 00:25:58.064] doctor
[00:25:58.672 --> 00:25:59.161] doctor
[00:25:59.498 --> 00:26:04.156] patient_1
[00:26:04.595 --> 00:26:07.261] patient_1
[00:26:16.441 --> 00:26:17.285] doctor
[00:26:43.964 --> 00:26:44.774] doctor
[00:26:46.107 --> 00:26:49.027] doctor
[00:27:32.311 --> 00:27:32.733] doctor
[00:27:43.870 --> 00:27:44.444] doctor
[00:27:46.334 --> 00:27:47.566] doctor
[00:27:48.494 --> 00:27:49.220] doctor
[00:27:58.973 --> 00:27:59.530] doctor
[00:27:59.902 --> 00:28:01.032] doctor
[00:28:07.816 --> 00:28:21.468] doctor
[00:28:19.358 --> 00:28:30.496] patient_1
[00:28:30.496 --> 00:28:32.673] doctor
[00:28:32.639 --> 00:28:34.327] patient_1
[00:28:35.002 --> 00:28:37.735] patient_1
[00:28:36.031 --> 00:28:36.689] doctor
[00:28:37.735 --> 00:28:41.347] doctor
[00:28:39.760 --> 00:28:43.051] patient_1
[00:28:41.600 --> 00:28:46.797] doctor
[00:28:44.384 --> 00:28:45.346] patient_1
[00:28:46.392 --> 00:28:47.253] patient_1
[00:28:47.860 --> 00:28:50.257] doctor
[00:28:49.582 --> 00:28:55.555] patient_1
[00:28:57.158 --> 00:29:02.153] doctor
[00:28:58.795 --> 00:28:59.470] patient_1
[00:29:02.170 --> 00:29:02.913] doctor
[00:29:03.368 --> 00:29:03.925] doctor
[00:29:03.470 --> 00:29:04.516] patient_1
[00:29:04.955 --> 00:29:06.237] doctor
[00:29:05.461 --> 00:29:06.878] patient_1
[00:29:07.030 --> 00:29:08.262] doctor
[00:29:08.262 --> 00:29:09.832] patient_1
[00:29:10.726 --> 00:29:11.131] doctor
[00:29:12.025 --> 00:29:12.515] doctor
[00:29:13.493 --> 00:29:17.645] patient_1
[00:29:13.612 --> 00:29:15.080] doctor
[00:29:17.645 --> 00:29:18.944] doctor
[00:29:18.978 --> 00:29:20.125] doctor
[00:29:18.995 --> 00:29:20.750] patient_1
[00:29:22.218 --> 00:29:28.023] patient_1
[00:29:25.070 --> 00:29:26.977] doctor
[00:29:28.023 --> 00:29:28.597] doctor
[00:29:28.597 --> 00:29:32.933] patient_1
[00:29:32.326 --> 00:29:36.123] doctor
[00:29:36.680 --> 00:29:37.321] patient_1
[00:29:37.321 --> 00:29:40.797] doctor
[00:29:41.557 --> 00:29:42.637] patient_1
[00:29:43.295 --> 00:29:49.133] patient_1
[00:29:51.732 --> 00:29:52.745] patient_1
[00:29:54.483 --> 00:29:55.968] doctor
[00:29:56.339 --> 00:29:57.233] patient_1
[00:29:58.077 --> 00:29:59.967] patient_1
[00:30:00.031 --> 00:30:02.832] doctor
[00:30:00.841 --> 00:30:02.039] patient_1
[00:30:03.254 --> 00:30:09.177] doctor
[00:30:03.490 --> 00:30:04.267] patient_1
[00:30:06.106 --> 00:30:06.629] patient_1
[00:30:10.004 --> 00:30:12.957] doctor
[00:30:13.058 --> 00:30:24.162] doctor
[00:30:19.522 --> 00:30:21.175] patient_1
[00:30:24.398 --> 00:30:47.028] doctor
[00:30:24.567 --> 00:30:25.040] patient_1
[00:30:27.048 --> 00:30:27.487] patient_1
[00:30:28.094 --> 00:30:29.123] patient_1
[00:30:30.288 --> 00:30:31.975] patient_1
[00:30:33.528 --> 00:30:34.507] patient_1
[00:30:34.591 --> 00:30:35.047] patient_1
[00:30:47.551 --> 00:30:48.715] doctor
[00:30:49.660 --> 00:30:50.150] doctor
[00:30:51.989 --> 00:30:53.677] doctor
[00:30:54.183 --> 00:30:55.432] doctor
[00:30:55.837 --> 00:30:56.208] doctor
[00:30:59.971 --> 00:31:00.899] doctor
[00:31:02.620 --> 00:31:04.696] doctor
[00:31:12.998 --> 00:31:14.011] doctor
[00:31:37.923 --> 00:31:38.902] doctor
[00:31:39.678 --> 00:31:40.218] doctor
[00:31:43.087 --> 00:31:49.870] doctor
[00:31:47.845 --> 00:31:48.622] patient_1
[00:31:49.162 --> 00:31:49.752] patient_1
[00:31:50.242 --> 00:31:51.440] doctor
[00:31:51.980 --> 00:31:52.908] doctor
[00:31:53.549 --> 00:31:55.287] doctor
[00:31:56.148 --> 00:31:56.907] doctor
[00:31:57.953 --> 00:32:02.678] doctor
[00:32:04.096 --> 00:32:04.990] doctor
[00:32:05.733 --> 00:32:07.083] doctor
[00:32:08.298 --> 00:32:11.757] doctor
[00:32:13.208 --> 00:32:20.397] doctor
[00:32:36.462 --> 00:32:51.768] doctor
[00:32:41.035 --> 00:32:42.689] patient_1
[00:32:44.309 --> 00:32:45.102] patient_1
[00:32:56.020 --> 00:32:56.982] doctor
[00:32:58.687 --> 00:33:00.222] doctor
[00:33:04.087 --> 00:33:04.795] doctor
[00:33:06.213 --> 00:33:06.905] doctor
[00:33:19.966 --> 00:33:23.510] doctor
[00:33:23.915 --> 00:33:30.513] doctor
[00:33:32.032 --> 00:33:43.878] doctor
[00:33:35.963 --> 00:33:37.685] patient_1
[00:33:44.958 --> 00:33:48.907] doctor
[00:33:47.000 --> 00:33:48.788] patient_1
[00:33:49.649 --> 00:33:52.889] doctor
[00:33:52.940 --> 00:33:55.420] doctor
[00:33:59.875 --> 00:34:02.693] doctor
[00:34:07.874 --> 00:34:08.667] doctor
[00:34:09.460 --> 00:34:09.848] doctor
[00:34:10.962 --> 00:34:11.806] doctor
[00:34:12.565 --> 00:34:13.696] doctor
[00:34:13.966 --> 00:34:16.548] doctor
[00:34:14.590 --> 00:34:15.046] patient_1
[00:34:16.700 --> 00:34:18.556] doctor
[00:34:16.767 --> 00:34:18.438] patient_1
[00:34:19.467 --> 00:34:22.032] doctor
[00:34:30.706 --> 00:34:31.617] doctor
[00:34:34.418 --> 00:34:35.583] doctor
[00:34:35.853 --> 00:34:44.037] doctor
[00:34:36.950 --> 00:34:38.840] patient_1
[00:34:46.838 --> 00:34:48.998] doctor
[00:34:50.095 --> 00:34:52.677] doctor
[00:34:52.694 --> 00:34:56.356] doctor
[00:34:56.592 --> 00:34:59.967] doctor
[00:34:58.280 --> 00:34:58.972] patient_1
[00:35:00.031 --> 00:35:03.102] doctor
[00:35:03.608 --> 00:35:04.790] doctor
[00:35:07.085 --> 00:35:13.160] doctor
[00:35:07.237 --> 00:35:07.642] patient_1
[00:35:12.552 --> 00:35:12.974] patient_1
[00:35:14.054 --> 00:35:16.568] doctor
[00:35:14.645 --> 00:35:15.742] patient_1
[00:35:16.602 --> 00:35:18.256] doctor
[00:35:18.543 --> 00:35:20.045] doctor
[00:35:19.201 --> 00:35:19.724] patient_1
[00:35:20.062 --> 00:35:24.365] doctor
[00:35:25.580 --> 00:35:27.166] doctor
[00:35:27.638 --> 00:35:29.343] doctor
[00:35:34.220 --> 00:35:35.182] doctor
[00:35:37.004 --> 00:35:38.945] doctor
[00:35:40.750 --> 00:35:43.248] doctor
[00:35:45.948 --> 00:35:48.142] doctor
[00:35:49.289 --> 00:35:52.090] doctor
[00:35:49.373 --> 00:35:50.605] patient_1
[00:35:52.445 --> 00:35:54.706] doctor
[00:35:52.647 --> 00:35:53.120] patient_1
[00:35:54.976 --> 00:35:55.583] doctor
[00:35:56.005 --> 00:35:56.461] doctor
[00:35:58.030 --> 00:36:00.494] doctor
[00:36:02.738 --> 00:36:03.717] doctor
[00:36:12.391 --> 00:36:12.948] doctor
[00:36:14.062 --> 00:36:15.698] doctor
[00:36:16.542 --> 00:36:16.998] doctor
[00:36:22.347 --> 00:36:25.233] doctor
[00:36:25.604 --> 00:36:27.258] doctor
[00:36:27.359 --> 00:36:27.832] doctor
[00:36:28.861 --> 00:36:38.429] doctor
[00:36:36.235 --> 00:36:36.708] patient_1
[00:36:40.606 --> 00:36:49.178] doctor
[00:36:49.702 --> 00:36:50.107] doctor
[00:36:52.739 --> 00:36:56.452] doctor
[00:37:04.062 --> 00:37:05.159] doctor
[00:37:07.977 --> 00:37:15.217] doctor
[00:37:16.600 --> 00:37:17.107] doctor
[00:37:17.275 --> 00:37:18.659] doctor
[00:37:18.912 --> 00:37:19.503] doctor
[00:37:19.570 --> 00:37:20.971] doctor
[00:37:21.562 --> 00:37:22.625] doctor
[00:37:31.923 --> 00:37:33.644] doctor
[00:37:34.842 --> 00:37:35.888] doctor
[00:37:37.036 --> 00:37:39.449] doctor
[00:37:45.727 --> 00:37:49.034] doctor
[00:37:52.628 --> 00:37:53.810] doctor
[00:37:55.548 --> 00:38:03.513] doctor
[00:38:03.614 --> 00:38:08.103] doctor
[00:38:05.960 --> 00:38:06.517] patient_1
[00:38:08.423 --> 00:38:11.191] doctor
[00:38:12.929 --> 00:38:18.413] doctor
[00:38:15.528 --> 00:38:16.102] patient_1
[00:38:18.835 --> 00:38:23.611] doctor
