================================================================================
SPEAKER DIARIZATION REPORT (WHO TALKED WHEN)
Source File   : Session_Full_۲۰۲۶۰۸۲۴_۱۸۰۰۰۰.wav
Total Speakers: 6 (doctor, patient_1, patient_2, patient_3, patient_4, patient_5)
Total Turns   : 5386
================================================================================

[00:12:21.427 --> 00:12:23.840] patient_1
[00:12:24.211 --> 00:12:24.835] patient_2
[00:12:29.071 --> 00:12:31.990] patient_1
[00:12:29.577 --> 00:12:32.294] doctor
[00:12:32.750 --> 00:12:34.015] doctor
[00:12:37.238 --> 00:12:39.027] patient_2
[00:12:41.153 --> 00:12:42.942] patient_2
[00:12:42.942 --> 00:12:43.972] doctor
[00:12:49.034 --> 00:12:49.675] patient_2
[00:12:49.743 --> 00:12:51.785] patient_2
[00:12:53.827 --> 00:12:55.328] patient_2
[00:12:55.430 --> 00:13:01.994] patient_2
[00:14:16.328 --> 00:14:16.852] patient_2
[00:14:16.919 --> 00:14:18.286] patient_2
[00:14:18.640 --> 00:14:19.670] patient_2
[00:14:31.448 --> 00:14:44.037] patient_2
[00:14:58.972 --> 00:14:59.967] patient_2
[00:15:00.031 --> 00:15:01.027] doctor
[00:15:01.060 --> 00:15:05.026] doctor
[00:15:25.968 --> 00:15:33.325] doctor
[00:15:33.764 --> 00:15:34.355] doctor
[00:15:42.185 --> 00:15:43.045] doctor
[00:15:43.315 --> 00:15:44.024] doctor
[00:15:47.973 --> 00:15:48.968] doctor
[00:16:33.704 --> 00:16:39.796] doctor
[00:16:40.589 --> 00:16:41.770] doctor
[00:16:43.002 --> 00:16:53.195] doctor
[00:16:56.502 --> 00:16:57.751] doctor
[00:16:59.337 --> 00:17:00.569] doctor
[00:17:12.179 --> 00:17:13.343] doctor
[00:17:15.132 --> 00:17:16.600] doctor
[00:17:16.972 --> 00:17:19.030] doctor
[00:17:19.300 --> 00:17:20.465] doctor
[00:17:21.224 --> 00:17:22.169] doctor
[00:17:22.422 --> 00:17:24.920] doctor
[00:17:25.257 --> 00:17:29.662] doctor
[00:17:30.286 --> 00:17:33.391] doctor
[00:17:33.965 --> 00:17:38.032] doctor
[00:17:41.930 --> 00:17:42.824] doctor
[00:17:43.347 --> 00:17:46.030] doctor
[00:17:46.300 --> 00:17:46.705] doctor
[00:17:47.583 --> 00:18:07.900] doctor
[00:18:03.023 --> 00:18:05.217] patient_1
[00:18:08.018 --> 00:18:10.094] doctor
[00:18:10.128 --> 00:18:15.207] doctor
[00:18:26.108 --> 00:18:33.027] doctor
[00:18:43.878 --> 00:18:45.869] doctor
[00:18:46.207 --> 00:18:51.488] doctor
[00:18:46.696 --> 00:18:47.388] patient_1
[00:18:51.792 --> 00:18:58.677] doctor
[00:18:57.378 --> 00:18:58.036] patient_1
[00:18:59.926 --> 00:19:01.985] doctor
[00:19:15.232 --> 00:19:16.430] doctor
[00:19:18.421 --> 00:19:20.024] doctor
[00:19:29.356 --> 00:19:30.031] doctor
[00:19:36.967 --> 00:19:40.038] doctor
[00:19:41.692 --> 00:19:42.535] doctor
[00:19:43.447 --> 00:19:45.050] doctor
[00:19:45.488 --> 00:19:46.349] doctor
[00:19:46.433 --> 00:19:47.429] doctor
[00:20:16.973 --> 00:20:22.137] doctor
[00:20:22.357 --> 00:20:23.858] doctor
[00:20:25.411 --> 00:20:37.527] doctor
[00:20:37.595 --> 00:20:38.253] doctor
[00:20:38.658 --> 00:20:40.025] doctor
[00:20:40.666 --> 00:20:41.037] doctor
[00:20:43.231 --> 00:20:44.699] doctor
[00:20:46.977 --> 00:21:02.840] doctor
[00:20:49.930 --> 00:20:53.963] patient_1
[00:20:54.537 --> 00:20:55.448] patient_1
[00:20:57.490 --> 00:20:58.435] patient_1
[00:21:04.156 --> 00:21:06.029] doctor
[00:21:07.717 --> 00:21:28.979] doctor
[00:21:13.032 --> 00:21:14.450] patient_1
[00:21:16.002 --> 00:21:17.251] patient_1
[00:21:46.883 --> 00:21:57.093] doctor
[00:21:58.308 --> 00:22:02.037] doctor
[00:22:02.105 --> 00:22:04.012] doctor
[00:22:04.366 --> 00:22:07.049] doctor
[00:22:21.511 --> 00:22:30.708] doctor
[00:22:31.754 --> 00:22:32.598] doctor
[00:22:34.319 --> 00:22:34.673] doctor
[00:22:34.808 --> 00:22:35.534] doctor
[00:22:35.804 --> 00:22:37.019] doctor
[00:22:37.627 --> 00:22:41.660] doctor
[00:22:42.638 --> 00:22:43.769] doctor
[00:22:44.967 --> 00:22:45.406] doctor
[00:22:46.942 --> 00:22:48.697] doctor
[00:22:48.933 --> 00:22:58.383] doctor
[00:22:59.277 --> 00:23:12.659] doctor
[00:23:05.082 --> 00:23:06.061] patient_1
[00:23:06.584 --> 00:23:07.782] patient_1
[00:23:12.710 --> 00:23:19.713] doctor
[00:23:20.135 --> 00:23:22.160] doctor
[00:23:22.868 --> 00:23:24.522] doctor
[00:23:25.096 --> 00:23:26.851] doctor
[00:23:27.425 --> 00:23:29.939] doctor
[00:23:32.302 --> 00:23:33.027] doctor
[00:23:33.348 --> 00:23:33.955] doctor
[00:23:34.158 --> 00:23:35.035] doctor
[00:24:45.978 --> 00:24:47.142] doctor
[00:25:00.031 --> 00:25:05.667] doctor
[00:25:06.697 --> 00:25:08.890] doctor
[00:25:10.561 --> 00:25:20.062] doctor
[00:25:14.375 --> 00:25:15.202] patient_1
[00:25:32.144 --> 00:25:34.338] doctor
[00:25:34.642 --> 00:25:35.317] doctor
[00:25:36.548 --> 00:25:38.540] doctor
[00:25:39.198 --> 00:25:46.032] doctor
[00:25:46.150 --> 00:26:00.157] doctor
[00:26:03.953 --> 00:26:05.354] doctor
[00:26:26.971 --> 00:26:54.376] doctor
[00:26:30.295 --> 00:26:33.164] patient_1
[00:26:33.907 --> 00:26:35.358] patient_1
[00:26:46.158 --> 00:26:46.681] patient_1
[00:26:48.757 --> 00:26:49.229] patient_1
[00:26:52.250 --> 00:26:53.330] patient_1
[00:26:54.730 --> 00:26:59.860] doctor
[00:27:08.939 --> 00:27:09.293] doctor
[00:27:09.310 --> 00:27:09.682] doctor
[00:27:39.449 --> 00:27:40.748] doctor
[00:27:40.951 --> 00:27:49.540] doctor
[00:28:02.045 --> 00:28:06.027] doctor
[00:28:13.975 --> 00:28:24.590] doctor
[00:28:24.792 --> 00:28:53.665] doctor
[00:28:53.733 --> 00:28:56.737] doctor
[00:28:57.158 --> 00:29:00.230] doctor
[00:29:08.768 --> 00:29:10.085] doctor
[00:29:56.963 --> 00:29:57.976] doctor
[00:30:00.031 --> 00:30:33.933] doctor
[00:30:08.705 --> 00:30:09.616] patient_1
[00:30:09.920 --> 00:30:10.274] patient_1
[00:30:27.655 --> 00:30:28.870] patient_1
[00:30:34.540 --> 00:30:50.572] doctor
[00:30:38.152 --> 00:30:39.383] patient_1
[00:30:41.273 --> 00:30:41.915] patient_1
[00:30:42.033 --> 00:30:42.455] patient_1
[00:30:44.581 --> 00:30:48.462] patient_1
[00:30:50.909 --> 00:30:58.216] doctor
[00:30:58.739 --> 00:31:06.788] doctor
[00:30:58.908 --> 00:30:59.887] patient_1
[00:31:10.197 --> 00:31:12.155] doctor
[00:31:17.572 --> 00:31:19.006] doctor
[00:31:19.293 --> 00:31:19.833] doctor
[00:32:09.968 --> 00:32:10.660] doctor
[00:32:11.977 --> 00:32:17.360] doctor
[00:32:50.367 --> 00:32:53.995] doctor
[00:32:54.535 --> 00:32:55.025] doctor
[00:33:27.965 --> 00:33:28.758] doctor
[00:33:30.023 --> 00:33:31.019] doctor
[00:33:31.964 --> 00:33:41.026] doctor
[00:33:42.663 --> 00:33:44.992] doctor
[00:33:47.978 --> 00:33:53.480] doctor
[00:33:53.581 --> 00:33:54.492] doctor
