================================================================================
SPEAKER DIARIZATION REPORT (WHO TALKED WHEN)
Source File   : Session_Full_۲۰۲۶۰۹۰۱_۱۸۰۰۱۸.wav
Total Speakers: 5 (doctor, patient_1, patient_2, patient_3, patient_4)
Total Turns   : 2822
================================================================================

[00:36:55.135 --> 00:36:56.182] patient_1
[00:36:57.143 --> 00:36:58.223] patient_1
[00:36:59.033 --> 00:37:00.316] patient_1
[00:37:01.767 --> 00:37:02.813] patient_1
[00:37:03.016 --> 00:37:03.421] doctor
[00:37:04.012 --> 00:37:04.906] doctor
[00:37:04.282 --> 00:37:05.041] patient_1
[00:37:05.564 --> 00:37:07.657] doctor
[00:37:07.707 --> 00:37:13.225] doctor
[00:37:13.445 --> 00:37:14.356] doctor
[00:37:14.710 --> 00:37:19.300] doctor
[00:37:18.659 --> 00:37:19.081] patient_1
[00:37:21.595 --> 00:37:21.967] doctor
[00:37:23.013 --> 00:37:23.452] doctor
[00:37:23.080 --> 00:37:24.194] patient_1
[00:37:29.054 --> 00:37:30.809] patient_1
[00:37:29.898 --> 00:37:30.455] doctor
[00:37:32.092 --> 00:37:34.741] patient_1
[00:37:36.158 --> 00:37:38.167] patient_1
[00:37:39.702 --> 00:37:40.124] patient_1
[00:37:40.175 --> 00:37:41.052] patient_1
[00:37:41.845 --> 00:37:43.145] doctor
[00:37:44.697 --> 00:37:45.929] doctor
[00:37:46.570 --> 00:37:48.832] doctor
[00:37:49.220 --> 00:37:51.886] doctor
[00:37:51.262 --> 00:37:51.802] patient_1
[00:37:54.299 --> 00:38:03.428] patient_1
[00:38:04.171 --> 00:38:04.930] patient_1
[00:38:04.255 --> 00:38:09.352] doctor
[00:38:09.503 --> 00:38:10.904] patient_1
[00:38:10.904 --> 00:38:12.608] doctor
[00:38:12.811 --> 00:38:15.140] doctor
[00:38:16.152 --> 00:38:20.236] patient_1
[00:38:17.755 --> 00:38:19.763] doctor
[00:38:21.400 --> 00:38:27.273] doctor
[00:38:27.526 --> 00:38:28.522] doctor
[00:38:28.522 --> 00:38:34.664] patient_1
[00:38:41.515 --> 00:38:41.988] doctor
[00:38:47.152 --> 00:38:47.776] patient_1
[00:38:47.793 --> 00:39:04.837] patient_1
[00:39:05.309 --> 00:39:22.977] patient_1
[00:39:22.285 --> 00:39:27.938] doctor
[00:39:25.188 --> 00:39:30.031] patient_1
[00:39:34.756 --> 00:39:38.131] doctor
[00:39:39.768 --> 00:39:43.514] doctor
[00:39:50.602 --> 00:39:52.019] doctor
[00:40:00.419 --> 00:40:01.027] doctor
[00:40:02.039 --> 00:40:03.980] doctor
[00:40:06.055 --> 00:40:20.382] doctor
[00:40:09.228 --> 00:40:09.717] patient_1
[00:40:23.656 --> 00:40:42.792] doctor
[00:40:35.114 --> 00:40:37.308] patient_1
[00:40:39.485 --> 00:40:40.160] patient_1
[00:40:42.168 --> 00:40:42.522] patient_1
[00:40:43.433 --> 00:40:43.788] doctor
[00:40:44.378 --> 00:40:44.868] doctor
[00:40:45.593 --> 00:40:47.770] doctor
[00:40:48.108 --> 00:40:49.930] doctor
[00:40:50.673 --> 00:41:16.087] doctor
[00:41:16.188 --> 00:41:36.033] doctor
[00:41:26.802 --> 00:41:30.177] patient_1
[00:41:44.960 --> 00:41:47.069] doctor
[00:41:49.685 --> 00:41:50.039] doctor
[00:41:58.966 --> 00:42:00.687] doctor
[00:42:01.514 --> 00:42:28.852] doctor
[00:42:14.457 --> 00:42:14.930] patient_1
[00:42:24.346 --> 00:42:24.802] patient_1
[00:42:34.218 --> 00:42:37.222] doctor
[00:42:37.458 --> 00:42:39.618] doctor
[00:42:39.938 --> 00:42:41.103] doctor
[00:42:41.407 --> 00:42:41.862] doctor
[00:42:43.972 --> 00:42:46.250] doctor
[00:42:46.823 --> 00:42:57.117] doctor
[00:42:47.482 --> 00:42:48.410] patient_1
[00:42:53.236 --> 00:42:53.725] patient_1
[00:42:55.312 --> 00:42:56.189] patient_1
[00:42:57.353 --> 00:43:00.880] doctor
[00:43:01.403 --> 00:43:03.698] doctor
[00:43:04.745 --> 00:43:06.280] doctor
[00:43:06.466 --> 00:43:08.255] doctor
[00:43:08.474 --> 00:43:24.033] doctor
[00:43:15.241 --> 00:43:19.088] patient_1
[00:43:24.117 --> 00:43:25.130] doctor
[00:43:25.282 --> 00:43:26.041] doctor
[00:43:43.237 --> 00:43:43.726] doctor
[00:43:44.603 --> 00:43:46.544] doctor
[00:43:47.101 --> 00:43:50.071] doctor
[00:51:45.179 --> 00:51:46.478] doctor
[00:51:48.082 --> 00:51:50.022] doctor
[00:51:52.553 --> 00:51:54.646] doctor
[00:51:58.814 --> 00:52:00.738] doctor
[00:52:08.905 --> 00:52:12.331] doctor
[00:52:13.192 --> 00:52:13.563] doctor
[00:52:15.419 --> 00:52:16.077] doctor
[00:52:16.330 --> 00:52:21.376] doctor
[00:52:22.338 --> 00:52:38.740] doctor
[00:52:39.854 --> 00:52:45.946] doctor
[00:52:48.747 --> 00:52:55.092] doctor
[00:52:55.480 --> 00:53:03.817] doctor
[00:53:01.032 --> 00:53:01.640] patient_1
[00:53:06.230 --> 00:53:13.621] doctor
[00:53:15.865 --> 00:53:16.979] doctor
[00:53:18.565 --> 00:53:51.387] doctor
[00:53:58.087 --> 00:53:58.981] doctor
[00:54:00.179 --> 00:54:01.006] doctor
[00:54:18.286 --> 00:54:21.678] doctor
[00:54:21.965 --> 00:54:25.863] doctor
[01:00:42.370 --> 01:00:44.885] patient_1
[01:00:46.370 --> 01:00:53.305] patient_1
[01:00:53.305 --> 01:00:54.031] doctor
[01:00:54.571 --> 01:00:55.837] patient_1
[01:00:56.798 --> 01:00:57.912] doctor
[01:00:58.857 --> 01:01:00.038] patient_1
[01:01:00.781 --> 01:01:02.249] patient_1
[01:01:03.818 --> 01:01:07.700] patient_1
[01:01:03.869 --> 01:01:04.342] doctor
[01:01:08.948 --> 01:01:12.323] patient_1
[01:01:20.913 --> 01:01:21.318] patient_1
[01:01:23.242 --> 01:01:23.832] patient_1
[01:01:24.895 --> 01:01:38.513] patient_1
[01:01:39.492 --> 01:01:42.985] patient_1
[01:01:43.357 --> 01:01:45.314] patient_1
[01:01:46.006 --> 01:01:51.119] patient_1
[01:01:46.715 --> 01:01:47.120] doctor
[01:01:52.182 --> 01:01:58.409] patient_1
[01:01:59.185 --> 01:02:03.978] doctor
[01:02:04.130 --> 01:02:04.619] doctor
[01:02:05.007 --> 01:02:06.712] patient_1
[01:02:07.522 --> 01:02:09.749] doctor
[01:02:10.289 --> 01:02:16.972] doctor
[01:02:16.972 --> 01:02:22.321] patient_1
[01:02:23.350 --> 01:02:26.033] patient_1
[01:02:26.033 --> 01:02:37.441] doctor
[01:02:26.185 --> 01:02:26.945] patient_1
[01:02:32.007 --> 01:02:32.767] patient_1
[01:02:33.965 --> 01:02:44.815] patient_1
[01:02:44.444 --> 01:02:57.370] doctor
